rank,processor,rating,antutu10,geekbench6,cores,clock,gpu,company,processor_key
200,Exynos 7885,20 D,207851,334 / 862,8 (2+6),2200 MHz,Mali-G71 MP2,Samsung,exynos 7885
201,Snapdragon 439,20 D,150067,199 / 795,8 (4+4),2000 MHz,Adreno 505,Qualcomm,snapdragon 439
202,Snapdragon 630,20 D,167245,181 / 960,8 (4+4),2200 MHz,Adreno 508,Qualcomm,snapdragon 630
203,Helio P22,20 D,122540,233 / 723,8 (4+4),2000 MHz,PowerVR GE8320,MediaTek,helio p22
204,Helio A22,20 D,123031,332 / 1145,4 (4),2000 MHz,PowerVR GE8300,MediaTek,helio a22
205,Snapdragon 450,19 D,137198,168 / 762,8 (8),1800 MHz,Adreno 506,Qualcomm,snapdragon 450
206,Snapdragon 625,18 D,167228,189 / 862,8 (8),2000 MHz,Adreno 506,Qualcomm,snapdragon 625
207,Kirin 659,17 D,103757,214 / 809,8 (4+4),2360 MHz,Mali-T830 MP2,Huawei,kirin 659
208,Exynos 7870,17 D,144731,172 / 492,8 (8),1600 MHz,Mali-T830 MP1,Samsung,exynos 7870
209,Unisoc SC9863A,15 D,119450,164 / 725,8 (4+4),1600 MHz,PowerVR GE8322,Unisoc,sc9863a
210,Snapdragon 430,14 D,134889,205 / 827,8 (8),1400 MHz,Adreno 505,Qualcomm,snapdragon 430
211,Snapdragon 801,13 D,125245,205 / 698,4 (4),2500 MHz,Adreno 330,Qualcomm,snapdragon 801
212,Snapdragon 435,12 D,117378,141 / 618,8 (8),1400 MHz,Adreno 505,Qualcomm,snapdragon 435
213,Snapdragon 425,12 D,135474,130 / 488,4 (4),1400 MHz,Adreno 308,Qualcomm,snapdragon 425
214,MediaTek MT6739,11 D,59165,106 / 340,4 (4),1500 MHz,PowerVR GE8100,Other,mt6739
215,MediaTek MT6737,10 D,59089,141 / 594,4 (4),1300 MHz,Mali-T720 MP2,Other,mt6737
